Inactive_ants,Random_locations
19.23841,0
21.16378,541.1539
19.40804,181.561
22.15804,34.37256
21.48699,70.00571
19.53001,6.033696
22.27638,720.1459
20.11373,640.4499
28.0193,0
25.57138,274.6567
20.22261,0
16.55935,448.3935
15.61126,25.70407
14.66029,190.9982
31.01218,0
26.97427,226.3871
25.91582,1.735336
18.68339,7.879742
17.47757,250.1352
16.28331,636.0887
14.95689,195.2504
11.81036,1.735338
72.7217,604.7549
39.13842,502.1485
31.4463,340.8185
27.2044,499.2365
21.35568,0
18.56381,37.09286
17.14978,99.92483
15.39124,0
10.2612,61.96455
72.2655,591.5533
71.26765,418.1071
44.2136,314.0006
36.06652,107.5082
31.57849,77.95872
26.72172,437.5952
19.28637,0
17.7389,524.1014
15.68705,417.0104
10.53649,0
8.288597,55.02507
3.71208,0
1.815765,0
0,201.4537
0,0
0,118.6216
0,269.2821
70.93372,223.7136
63.57393,138.071
48.85208,0
49.2052,199.9371
58.62674,0
71.89052,249.3285
83.60357,206.6547
52.32524,237.4171
40.54874,0
34.04678,244.7849
27.46503,128.787
20.98324,117.4526
17.80038,203.3339
14.49436,0
10.89908,69.10721
8.452259,338.9075
4.972247,61.82652
1.517045,365.8073
0,236.8976
0,110.434
0,0
0,114.3012
0,417.9868
0,0
65.60834,62.63781
65.07891,0
67.44253,0
70.24018,59.61192
60.7486,0
69.92914,10.29968
60.90664,157.4968
48.19238,134.5299
43.16692,404.4818
36.39534,185.1593
42.60558,202.1647
52.5354,458.7404
68.56642,0
79.41884,289.4112
87.29299,0
63.16132,41.63835
48.68135,633.8242
38.4622,195.2858
31.47497,217.0774
19.70253,82.19308
18.02689,121.0227
16.23611,31.84682
11.1428,0
8.635755,0
4.827387,0
0,481.0109
0,12.07487
0,0
0,590.8951
0,698.2568
0,101.5228
0,436.5384
0,86.46895
0,70.22158
60.72841,65.97942
66.0219,352.5393
67.00465,296.557
67.8838,181.9228
70.49438,0
71.37704,186.028
68.03703,199.0408
63.9383,0
59.90669,449.4265
58.11463,13.50748
57.55846,0
54.9693,274.1697
71.14249,195.4152
67.17085,262.3541
61.26627,421.2934
54.52798,47.268
44.78645,108.3565
38.91643,0
36.65764,0
35.69806,646.6374
41.80938,333.3515
55.71014,0
64.40218,0
80.67303,304.1065
90.42252,0
93.83544,20.67515
74.55486,5.555429
54.65527,0
46.37828,69.86163
34.3059,0
25.16286,0
20.08993,15.84233
16.49978,0
12.67711,456.1507
8.489797,130.3292
3.283186,161.7752
0,366.5281
0,0
0,229.8941
0,5.546471
0,0
0,0
0,293.2201
0,480.5351
0,135.2426
60.90763,82.60703
61.16444,347.6253
63.28667,132.0381
67.30699,0
68.27686,44.57261
72.33408,0
73.423,281.2579
74.36143,0
74.82755,0
76.31413,0
76.17219,0
75.46358,26.08894
72.1423,320.4138
66.52003,417.7699
62.30399,215.9705
58.93394,28.90158
59.48332,0
57.13893,0
59.61922,449.4265
67.24195,667.333
71.16754,7.052034
71.44746,1.531304
72.33202,154.0239
72.02893,0
71.99332,93.03203
69.58872,139.9168
62.46999,54.58242
57.53057,0
47.33089,338.8502
39.5468,0
35.61194,0
29.84504,407.1111
33.01328,0
34.4079,0
43.57748,68.49203
52.88903,84.11619
67.88904,66.09428
84.01624,0
98.42651,144.5322
100.6442,0
101.1057,0
98.37839,0
121.1038,0
109.7665,72.09383
96.5476,10.46047
77.02416,29.73877
60.32476,10.18126
50.97491,184.8878
36.83458,121.6256
27.5942,165.5002
20.35034,362.663
16.43153,0
12.09854,87.48003
4.95643,454.2229
3.528308,280.0037
0,0
0,130.3107
0,109.0523
0,0
0,62.25473
0,0
0,293.2887
0,0
0,56.30741
0,164.5989
63.0403,105.5753
64.77315,1.892605
66.77117,156.5135
67.57848,0
74.87589,300.6982
75.75822,435.6158
74.80869,378.3303
76.95441,0
78.78173,339.9331
78.87279,242.4171
77.32681,15.06572
78.65546,0
77.8735,10.83014
74.56128,0
67.77118,85.33154
65.18282,15.02516
60.14067,145.3459
59.20505,469.3398
59.84037,0
63.73039,0
69.93879,439.7627
72.29256,86.21828
75.53722,56.74022
76.41245,23.76389
76.25143,9.622202
74.93115,107.5313
72.68435,219.0342
65.92875,250.0341
59.98339,44.58923
51.42142,619.2223
44.06894,128.0679
38.31156,361.3892
31.02621,154.4066
34.38834,267.0515
37.90806,523.8386
43.93943,134.9245
53.54331,10.49814
74.00838,529.3356
93.18748,485.4546
105.8757,0
112.8454,616.7671
115.6389,501.0054
113.7609,83.68504
114.782,322.5301
134.879,0
124.1627,271.3582
113.8154,0
99.8545,297.1129
82.98603,134.1494
62.34509,275.9402
50.66632,25.90899
36.00169,209.6436
28.49237,0
21.17858,349.7541
15.6982,209.8817
10.00334,833.3867
5.219483,0
0,0
0,1.999037
0,98.79344
0,735.799
0,380.9476
0,0
0,156.7955
0,231.6185
0,0
0,13.99403
0,0
0,0
61.47173,0
65.12199,0
65.43048,586.1055
68.96287,91.04533
71.16025,0
76.90208,0
79.30468,0
76.57846,48.37393
77.37396,169.5082
79.42898,0
81.18507,79.10496
79.56771,275.0933
79.326,238.4103
78.42868,371.3677
75.44557,37.18322
68.83212,46.64397
66.58205,0
63.10101,0
60.87771,1.639191
61.45166,456.1636
67.10636,641.8273
73.31542,506.8645
75.54427,50.42079
78.57117,550.4539
80.76242,417.6756
80.65249,286.4224
79.73525,383.8381
74.72833,204.0033
66.78255,6.694652
62.82658,496.4542
56.3041,2.181293
50.57642,0
45.46425,0
40.1042,189.5353
39.59516,509.1655
42.8059,1.89286
51.63322,46.49009
64.30704,664.7911
80.46149,220.6628
103.6285,370.7635
117.3847,0
123.5107,500.8399
132.2129,538.7087
134.2527,21.7782
138.5276,0
134.8103,509.0984
132.554,200.1168
118.9802,141.1453
97.37157,0
78.22767,241.1447
60.47509,193.697
46.63851,98.56018
35.03674,274.4443
26.92227,291.7971
22.94255,0
18.08865,4.548194
12.12213,15.02174
5.209525,0
3.647095,202.7161
0,0
0,0
0,0
0,233.8578
0,0
0,0
0,217.2532
0,0
0,0
0,68.27386
0,73.09493
0,562.1037
0,480.8536
0,1.676565
0,174.4139
61.97064,185.9081
65.70005,0
64.56187,128.1431
68.14077,650.8427
68.79841,124.9993
72.62997,148.0736
73.48973,100.4478
77.44825,189.6118
79.91138,244.9656
82.88147,0
80.56606,0
79.72699,224.5806
81.63379,24.42337
84.68885,0
84.33176,254.22
80.47637,184.4482
79.15488,0
72.72748,595.8032
69.28741,0
66.23346,1.757169
65.9724,0
66.6992,0
69.4645,107.4182
77.15877,0
79.07545,436.2824
80.20317,0
83.85828,0
87.01645,281.4706
83.39072,0
79.01368,0
74.27835,537.3628
72.08254,124.7514
66.50834,279.3854
60.56114,0
56.2833,209.7484
52.35061,87.1699
51.35886,0
51.5315,4.291437
61.26913,265.8647
73.6409,0
95.80981,652.7275
114.0414,25.64218
122.7588,0
133.9411,417.7044
142.4572,0
144.5188,270.5512
144.4865,45.35302
146.6279,173.3009
131.9919,545.2405
126.1447,0
95.0658,29.48994
80.56229,0
58.03058,0
43.67625,17.65744
31.33728,366.8078
29.27876,47.94879
27.17042,37.98809
22.05342,0
14.43546,2.393581
6.473356,315.1937
5.006358,85.47344
0,0
0,39.03476
0,150.1784
1.533071,316.8993
1.612769,385.8511
1.587758,316.7612
0,122.7375
0,109.7542
0,6.755075
0,441.0311
0,0
0,0
0,65.18266
0,104.415
0,0
64.76027,60.77477
68.16335,240.5252
67.27812,3.683299
67.97462,595.8007
73.22712,582.7296
74.04781,0
79.47171,350.8584
81.98595,331.7014
82.75001,0
83.31284,18.36338
83.82285,0
81.42413,0
84.88021,388.8911
85.22268,0
84.84462,219.2064
82.56285,139.0978
81.35454,0
76.69537,0
75.10909,175.8002
72.61725,85.4743
69.71137,102.5507
70.46024,0
71.73085,0
77.72265,249.4335
80.82971,0
86.33654,176.3517
88.67452,304.1782
90.37321,391.4044
91.66177,434.3996
84.8291,23.60112
79.07283,339.7502
78.95972,351.4515
74.4688,46.11678
71.54941,0
69.99794,158.461
67.91864,438.409
67.10359,29.69435
68.72916,0
75.73935,0
89.34851,52.77478
109.0014,608.2832
122.5209,421.1275
131.9746,106.7684
141.9461,56.8594
149.8853,0
152.6912,0
155.8211,138.0035
158.7612,426.0021
146.1019,0
135.5514,715.2543
121.937,24.41422
96.9767,253.7645
72.79106,498.9742
58.69856,267.7689
43.42338,0
31.50083,153.4097
31.97145,178.0198
28.01486,0
20.79626,4.713037
12.80016,363.2513
8.219426,304.1577
4.971832,238.238
0,361.1485
1.534788,145.1601
1.592799,0
1.612105,610.1657
1.600434,0
1.540904,0
0,0
0,73.72077
0,185.0427
0,206.2738
0,144.7297
0,46.11942
1.581732,394.3555
1.58243,199.6008
1.542358,640.7397
0,339.2906
66.90921,0
67.33447,0
66.40388,0
67.02024,0
70.68777,408.3483
72.9302,145.1984
76.85628,0
82.34526,0
83.07954,0
83.55945,0
82.44429,159.8719
81.39473,46.5118
86.5425,203.7138
72.91023,285.8212
73.69762,125.4882
76.35669,56.15409
82.26324,0
83.64468,70.30782
85.86163,317.72
87.94474,4.489396
89.7502,0
92.97007,0
89.92218,103.411
84.90831,17.69759
84.12224,9.793492
83.51277,244.7188
84.96605,15.8602
84.60325,0
80.23483,261.1554
81.1115,379.4076
83.28278,0
91.84651,120.6057
101.4914,0
118.7992,0
129.4548,0
136.6535,183.3298
146.5842,125.3308
152.8019,1.989678
158.3118,250.0574
166.9234,241.8049
160.2341,697.5974
155.6276,276.1804
146.2599,75.19408
123.6034,4.439044
96.72067,0
76.62981,1.533194
60.43251,224.0339
47.08883,23.64931
42.13332,568.7647
38.0347,0
30.25625,35.31391
23.52201,425.7934
16.46833,292.0669
3.481352,64.63479
3.238496,146.1584
3.136178,120.5692
1.576151,0
1.512607,0
0,0
0,161.1382
0,0
0,73.87485
0,70.66553
1.601712,52.60056
1.825503,675.3499
1.882325,364.0061
