MLD,pMLD,activity
8.5875,0.078784404,0.187294427
8.7125,0.079931193,0.169734904
9,0.082568807,0.129820649
8.9625,0.082224771,0.095764273
9.0125,0.082683486,0.109099663
9.05,0.083027523,0.143759571
8.4625,0.077637615,0.166762673
8.5125,0.07809633,0.131280077
8.9875,0.082454128,0.132001529
9.075,0.083256881,0.224020688
4.7,0.043119266,0.288730412
4.95,0.045412844,0.254278274
6.5,0.059633028,0.214474429
7.0875,0.065022936,0.227190562
7.4875,0.068692661,0.187983399
6.3875,0.058600917,0.159402477
6.3,0.057798165,0.146828844
6.7875,0.062270642,0.19722488
7.25,0.066513761,0.132584056
7.2875,0.066857798,0.185321649
7.425,0.068119266,0.172917869
7.3,0.066972477,0.125755287
7.5,0.068807339,0.156829361
8.4375,0.077408257,0.144369219
8.125,0.074541284,0.168782458
7.375,0.06766055,0.142954127
7.725,0.07087156,0.139104874
8.125,0.074541284,0.144027434
7.825,0.071788991,0.153316351
7.1,0.065137615,0.201852382
6.475,0.05940367,0.153036285
7.275,0.066743119,0.139067681
7.6,0.069724771,0.141387419
7.7875,0.071444954,0.14358572
6.375,0.058486239,0.154335873
6.5875,0.06043578,0.150014452
6.5375,0.059977064,0.155207624
6.875,0.063073394,0.120462361
7.7375,0.070986239,0.059795363
8.175,0.075,0.058863069
8.0125,0.073509174,0.06782379
7.9,0.072477064,0.109449875
7.175,0.065825688,0.124847346
6.525,0.059862385,0.144955178
6.4,0.058715596,0.190485325
7.2375,0.066399083,0.144195104
8.4625,0.077637615,0.183616346
8.7625,0.080389908,0.110579577
8.6,0.078899083,0.15461997
9.1625,0.084059633,0.173621601
8.95,0.082110092,0.186052922
8.5625,0.078555046,0.145726339
8.5,0.077981651,0.20238772
8.35,0.076605505,0.142804189
9.15,0.083944954,0.155988858
8.275,0.075917431,0.113688248
9.475,0.086926606,0.124266965
8.75,0.080275229,0.133433283
9.225,0.084633028,0.087147635
9.225,0.084633028,0.078135384
9.025,0.082798165,0.085074487
9.4375,0.086582569,0.115297664
9.125,0.083715596,0.123548449
7.3125,0.067087156,0.100583365
7.6375,0.070068807,0.103131446
8.125,0.074541284,0.137094499
7.9375,0.072821101,0.14304686
7.65,0.070183486,0.12010102
8.125,0.074541284,0.131008042
9.0625,0.083142202,0.132384015
9.2,0.08440367,0.105668429
9.1875,0.084288991,0.104092693
9.2625,0.084977064,0.134442782
8.4625,0.077637615,0.142883583
8.325,0.076376147,0.140286414
7.375,0.06766055,0.129613896
6.6875,0.061353211,0.127663569
7.3375,0.067316514,0.156825697
7.7375,0.070986239,0.106514995
7.725,0.07087156,0.177669265
7.7875,0.071444954,0.200056888
7.6625,0.070298165,0.244344316
7.9875,0.073279817,0.259118541
7.7875,0.071444954,0.245155693
7.7875,0.071444954,0.235450489
7.2625,0.06662844,0.175496069
7.6,0.069724771,0.14015748
8.225,0.075458716,0.127892927
7.325,0.067201835,0.126728547
7.2125,0.066169725,0.179803885
8.0875,0.074197248,0.135707591
7.825,0.071788991,0.087857008
7.3375,0.067316514,0.121930407
8.1125,0.074426606,0.106287003
8.225,0.075458716,0.061216766
8.375,0.076834862,0.016472139
8.425,0.077293578,0.051751818
8.5375,0.078325688,0.034871501
8.6,0.078899083,0.049961934
8.45,0.077522936,0.095643939
8.5125,0.07809633,0.067752443
8.55,0.078440367,0.041868255
8.45,0.077522936,0.04649197
8.2625,0.075802752,0.030308807
8.7,0.079816514,0.020579628
8.9125,0.081766055,0.049308365
8.85,0.081192661,0.027824463
8.825,0.080963303,0.077174624
8.825,0.080963303,0.074171193
8.1,0.074311927,0.043644147
7.925,0.072706422,0.097795096
8.2875,0.07603211,0.107612038
8.275,0.075917431,0.165560438
6.7375,0.061811927,0.191848078
7.1125,0.065252294,0.260986965
7.3375,0.067316514,0.294679031
6.5,0.059633028,0.380420976
6.475,0.05940367,0.407607205
6.525,0.059862385,0.430534351
4.9375,0.045298165,0.413194444
6.025,0.055275229,0.417006677
5.1,0.046788991,0.424630816
6.0125,0.05516055,0.374571402
6.2,0.056880734,0.253413841
5.975,0.054816514,0.245046729
5.9875,0.054931193,0.233828006
5.5625,0.05103211,0.155799138
5.625,0.051605505,0.228080396
6.4375,0.059059633,0.166666667
6.025,0.055275229,0.118668184
5.2875,0.048509174,0.137146136
6.8875,0.063188073,0.075999613
7.2625,0.06662844,0.067098742
8.625,0.07912844,0.066785983
8.2375,0.075573394,0.078482914
9.1375,0.083830275,0.064764914
9.525,0.087385321,0.077764163
9.5625,0.087729358,0.038227872
9.5625,0.087729358,0.026010744
9.875,0.09059633,0.020803648
9.9625,0.091399083,0.032460137
10.2625,0.094151376,0.034724858
10.3125,0.094610092,0.016458196
10.25,0.094036697,0.029257314
10.1,0.09266055,0.051219512
9.8125,0.090022936,0.04319214
9.4125,0.086353211,0.03538834
9.15,0.083944954,0.027583601
7.8375,0.07190367,0.044446515
7.7875,0.071444954,0.056040892
7.775,0.071330275,0.102839891
7.775,0.071330275,0.107012793
7.8125,0.071674312,0.10208275
6.825,0.062614679,0.174068835
6.7,0.06146789,0.215334572
7.15,0.06559633,0.220139016
6.7,0.06146789,0.295799408
4.3125,0.03956422,0.439318408
3.1,0.028440367,0.464113964
4.1625,0.038188073,0.478786176
4.1,0.037614679,0.524925317
3.75,0.03440367,0.415460232
5.225,0.04793578,0.401326235
5.1625,0.047362385,0.306610279
4.6375,0.042545872,0.336188235
4.925,0.045183486,0.300757303
5.375,0.049311927,0.214783566
5.725,0.052522936,0.202026837
6.25,0.05733945,0.202800445
7.2125,0.066169725,0.175796058
7.2625,0.06662844,0.185085268
6.6875,0.061353211,0.191284227
7.3625,0.067545872,0.127772512
7.6625,0.070298165,0.158655236
7.6625,0.070298165,0.098947172
7.5625,0.069380734,0.167680534
7.5625,0.069380734,0.091063067
7.6875,0.070527523,0.085238048
7.5625,0.069380734,0.082717283
7.45,0.068348624,0.058327615
7.4,0.067889908,0.075940662
6.6,0.060550459,0.079057279
6.525,0.059862385,0.071219611
6.9,0.063302752,0.113232457
6.8625,0.062958716,0.096689544
6.4,0.058715596,0.10491249
6.5625,0.060206422,0.095385537
6.9375,0.063646789,0.050659472
6.9,0.063302752,0.060954688
6.7125,0.061582569,0.091450884
6.4625,0.059288991,0.128758829
6.5875,0.06043578,0.107956817
7.475,0.068577982,0.140381282
7.2375,0.066399083,0.135747968
7.8125,0.071674312,0.114714954
7.9,0.072477064,0.100808041
7.25,0.066513761,0.157404713
8.075,0.074082569,0.127450024
7.6625,0.070298165,0.082948866
7.6375,0.070068807,0.153973996
5.5625,0.05103211,0.205305764
5.7,0.052293578,0.315267616
5.375,0.049311927,0.358660844
7.2625,0.06662844,0.343708357
6.3375,0.058142202,0.274320525
7.425,0.068119266,0.174257791
6.6625,0.061123853,0.225999813
6.9375,0.063646789,0.193791413
7.8,0.071559633,0.088882824
8.125,0.074541284,0.07742639
8.0375,0.073738532,0.058501914
8.1875,0.075114679,0.059871442
8.1125,0.074426606,0.037720562
8.2375,0.075573394,0.085458492
8.175,0.075,0.047228481
8.55,0.078440367,0.048767022
8.5,0.077981651,0.022371772
8.25,0.075688073,0.056884587
8.275,0.075917431,0.044448543
8.2625,0.075802752,0.027064347
8.3875,0.076949541,0.037314131
8.2375,0.075573394,0.073900403
8.3,0.076146789,0.071825765
8.25,0.075688073,0.07117941
8.6875,0.079701835,0.072131768
7.85,0.072018349,0.061561703
7.775,0.071330275,0.083096994
8.575,0.078669725,0.067685185
7.925,0.072706422,0.07191813
7.9375,0.072821101,0.105737316
7.9,0.072477064,0.085204321
8.275,0.075917431,0.07267525
8.3375,0.076490826,0.100837209
7.9625,0.073050459,0.126098336
7.8625,0.072133028,0.139157681
7.35,0.067431193,0.152046238
7.125,0.065366972,0.196132075
6.4375,0.059059633,0.23132691
6.5875,0.06043578,0.226275974
6.5125,0.059747706,0.235166083
7.8875,0.072362385,0.26001738
7.7875,0.071444954,0.250455461
5.325,0.048853211,0.315920398
6.075,0.055733945,0.329101842
