MLD,pMLD,activity
5.8,0.152631579,0.238541889
6.3,0.165789474,0.185948675
8.7625,0.230592105,0.108567691
10.5625,0.277960526,0.082890542
10.65,0.280263158,0.086065574
9.7,0.255263158,0.13003663
10.65,0.280263158,0.083471761
7.95,0.209210526,0.073303928
10.8625,0.285855263,0.069200351
8.4375,0.222039474,0.127578475
4.875,0.128289474,0.250499223
5.2125,0.137171053,0.289658195
4.9875,0.13125,0.266306695
5.0125,0.131907895,0.25978333
4.6125,0.121381579,0.315653854
5.0125,0.131907895,0.232235343
5.2875,0.139144737,0.239373122
7.15,0.188157895,0.305999137
9.2125,0.242434211,0.286490009
7.3875,0.194407895,0.185278654
7.9875,0.210197368,0.219484109
7.75,0.203947368,0.209235528
8.25,0.217105263,0.18875502
13.2875,0.349671053,0.128297109
13.05,0.343421053,0.091395548
12.2375,0.322039474,0.068027211
10.0375,0.264144737,0.088376143
10.5,0.276315789,0.115794144
11.4125,0.300328947,0.160651408
11.1625,0.29375,0.135409764
12.35,0.325,0.075128425
13.0875,0.344407895,0.12885906
14.1125,0.371381579,0.086853957
13.9375,0.366776316,0.102149393
14.1875,0.373355263,0.075508864
13.425,0.353289474,0.031181858
12.975,0.341447368,0.106363428
10.675,0.280921053,0.109405832
9.375,0.246710526,0.1241274
6.4875,0.170723684,0.123425155
7.3875,0.194407895,0.227510917
4.8375,0.127302632,0.307904802
4.8875,0.128618421,0.229554656
4.8375,0.127302632,0.3618202
4.8,0.126315789,0.257776856
4.525,0.119078947,0.257810925
4.2125,0.110855263,0.391513378
5.575,0.146710526,0.268251982
7.05,0.185526316,0.269379845
8.225,0.216447368,0.174463519
9.2625,0.24375,0.230719237
10.8125,0.284539474,0.24291413
9.9875,0.262828947,0.175130208
9.5,0.25,0.098494624
10.0875,0.265460526,0.168518939
11.6125,0.305592105,0.085470085
11.875,0.3125,0.094898641
12.1625,0.320065789,0.150342693
13.15,0.346052632,0.136644639
13.175,0.346710526,0.090379638
12.8625,0.338486842,0.163028649
13.6,0.357894737,0.103977518
12.9875,0.341776316,0.040771591
11.9625,0.314802632,0.077646006
12.3375,0.324671053,0.061372635
12.925,0.340131579,0.048626254
13.05,0.343421053,0.077332765
7.4125,0.195065789,0.151138716
5.6,0.147368421,0.156236605
5.325,0.140131579,0.148737138
4.675,0.123026316,0.231306778
4.6375,0.122039474,0.22074346
5.2,0.136842105,0.281876138
4.8625,0.127960526,0.318946436
4.1625,0.109539474,0.306888069
4.35,0.114473684,0.228763667
5.9875,0.157565789,0.196526709
5.8125,0.152960526,0.258720259
7.55,0.198684211,0.144667371
8.825,0.232236842,0.195595855
10.575,0.278289474,0.228097692
9.7125,0.255592105,0.194528875
8.875,0.233552632,0.157979705
9.75,0.256578947,0.129105323
11.4125,0.300328947,0.080605103
10.5375,0.277302632,0.078142443
10.5375,0.277302632,0.129430597
10.4375,0.274671053,0.122484689
10.3,0.271052632,0.067638104
10.075,0.265131579,0.099530306
12.225,0.321710526,0.083314769
12.2375,0.322039474,0.107409925
10.775,0.283552632,0.089595376
10.575,0.278289474,0.10834854
10.125,0.266447368,0.089318182
10.1875,0.268092105,0.175842044
10.1875,0.268092105,0.011535852
10.15,0.267105263,0.086629002
5.975,0.157236842,0.106275767
5.0125,0.131907895,0.079866518
5.4875,0.144407895,0.073872303
5.8125,0.152960526,0.11313394
4.8125,0.126644737,0.139259908
4.8375,0.127302632,0.233947014
4.725,0.124342105,0.180730753
4.7,0.123684211,0.216450216
4.5375,0.119407895,0.286939314
3.8125,0.100328947,0.229050279
6.3125,0.166118421,0.229714791
6.55,0.172368421,0.189239717
7.6625,0.201644737,0.142033759
7.8125,0.205592105,0.181491654
7.775,0.204605263,0.121162168
7.275,0.191447368,0.100513259
8.3125,0.21875,0.097897503
8.7875,0.23125,0.063215952
8.725,0.229605263,0.076376936
9.075,0.238815789,0.12593864
10.775,0.283552632,0.033249686
11.125,0.292763158,0.101053537
10.9875,0.289144737,0.098711554
11,0.289473684,0.04748954
10.725,0.282236842,0.076200873
11.25,0.296052632,0.049857861
10.325,0.271710526,0.0572697
10.325,0.271710526,0.060150376
8.8125,0.231907895,0.023452769
7.725,0.203289474,0.011536787
5.7875,0.152302632,0.060882801
6.775,0.178289474,0.096663815
7.5,0.197368421,0.092310855
5.85,0.153947368,0.073381295
5.8875,0.154934211,0.095744681
5.8125,0.152960526,0.188199166
5.6625,0.149013158,0.226789067
4.95,0.130263158,0.252823087
5,0.131578947,0.221018418
3.975,0.104605263,0.30626177
