MLD,pMLD,Total_active_ants
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,0.00E+00
1.10E+01,9.17E-02,1.00E+00
1.00E+01,8.33E-02,2.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,3.00E+00
1.00E+01,8.33E-02,6.00E+00
1.00E+01,8.33E-02,6.00E+00
1.00E+01,8.33E-02,7.00E+00
1.00E+01,8.33E-02,8.00E+00
1.00E+01,8.33E-02,8.00E+00
1.00E+01,8.33E-02,8.00E+00
1.00E+01,8.33E-02,8.00E+00
1.00E+01,8.33E-02,8.00E+00
1.00E+01,8.33E-02,9.00E+00
1.00E+01,8.33E-02,1.00E+01
1.00E+01,8.33E-02,1.10E+01
1.00E+01,8.33E-02,1.30E+01
1.00E+01,8.33E-02,1.40E+01
9.00E+00,7.50E-02,1.40E+01
9.00E+00,7.50E-02,1.50E+01
9.00E+00,7.50E-02,1.50E+01
9.00E+00,7.50E-02,1.50E+01
9.00E+00,7.50E-02,1.50E+01
9.00E+00,7.50E-02,1.50E+01
9.00E+00,7.50E-02,1.50E+01
