Inactive_ants,Random_locations
50.06442,28.59701
38.38102,568.419
24.86817,186.509
18.3558,62.82308
15.17276,77.33934
12.1912,80.35843
9.919418,745.8469
9.128718,655.4321
9.014392,31.48836
9.263083,286.5985
10.45789,44.49247
12.49012,468.2024
14.41348,26.11356
15.84635,194.8466
16.55181,53.92159
36.51452,259.2211
31.74418,28.56092
28.96513,52.39277
26.70636,264.2705
23.72134,663.3444
21.82584,197.6196
21.31259,67.6439
20.85971,629.3994
20.08806,507.7949
20.19957,348.3475
21.38264,512.3384
22.94637,17.2942
24.78222,98.959
26.40047,107.8913
26.91562,28.42085
34.42551,103.3358
35.03962,621.9468
37.39345,460.6742
38.46206,319.8288
37.33405,111.2952
36.05452,87.99886
34.92801,477.0133
33.06528,0.4324389
30.85252,542.3053
29.40364,433.9034
29.58852,22.57948
31.29871,118.9127
34.25759,18.28775
37.24401,1.317251
38.72506,204.868
38.25511,12.4477
33.98006,143.3571
37.10672,319.7597
42.3011,227.2476
46.5322,195.6314
48.35549,44.51413
49.18316,208.4943
48.25807,34.55142
45.69391,303.5736
42.56859,226.9944
39.76395,295.1968
38.79559,51.46468
40.26499,258.4964
43.59208,138.9832
46.43049,180.7858
47.2464,262.2846
46.78211,47.07053
34.08148,131.5632
38.66006,385.6761
45.32576,119.3184
51.30008,394.6279
55.73238,244.3496
58.37283,126.1658
58.16426,47.05636
56.12866,125.11
53.04356,474.6544
49.59361,29.33756
47.38025,92.45834
47.45065,33.19429
49.10678,0.1866563
50.5911,60.97055
50.90399,26.45254
50.62886,11.41061
40.27409,209.7982
47.98487,149.5648
54.69524,432.0204
60.42171,251.5936
63.98401,205.4714
64.61491,501.673
63.25382,58.86392
60.35633,311.802
56.4415,0.1938978
53.12247,55.30352
51.71565,653.636
51.24541,196.4501
51.31698,232.1467
51.32726,136.0117
51.34045,124.568
50.73194,35.48571
42.4951,43.25591
50.96262,51.31472
57.88185,36.28321
63.73732,486.8816
67.59467,56.46241
68.89302,38.45856
67.97029,608.8408
65.10496,720.315
60.53119,104.0337
56.01395,484.8242
53.33527,132.2465
51.79465,73.65245
50.94389,112.0045
50.59148,405.925
50.35632,342.0243
49.40943,195.4022
46.17277,38.10029
54.61464,221.2539
61.25283,249.3746
66.52746,38.6259
70.02291,489.4389
71.44494,64.65376
70.98743,61.57914
68.47744,323.8103
63.95523,229.8178
58.43885,313.911
54.03152,462.9785
51.74707,79.88614
50.43364,110.9583
49.7972,27.48886
49.16378,29.8678
47.61955,653.8541
51.45041,341.7924
59.1228,33.78833
64.3281,18.1031
68.22886,341.8137
71.13207,37.5784
72.73028,34.49385
72.69736,79.73828
70.69801,31.7762
66.72967,86.52197
61.71893,8.952076
56.25189,51.86975
52.74091,37.39806
51.06452,53.53083
49.8473,460.234
48.66791,132.8543
46.52731,170.5698
57.87453,376.3641
63.70343,28.23715
66.75404,239.2953
68.85187,24.51941
70.97822,35.34079
72.63512,16.93219
73.08413,304.6235
71.75835,484.4702
69.01571,165.5501
65.39216,140.7465
60.5848,357.0716
55.68025,154.2474
